"Particulars","FG/RM/PM","Group","Sub-Group","UOM","Customer","Sale Group","GST","HSN/SAC"
"PM24-Ahlan White Chocolate Dates Pouch 13 gm Digital","PM","Packaging","Pouch Roll","0.000","Ahlan","PM","18%","48219090"
"PM24-Airbag Bubble Roll","PM","Packaging","Roll","0.000","GENERAL","PM","18%","39201012"
"PM24-Airbag Pillow 200mm 50 Gsm 100 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","39201012"
"PM24-Airbag Pillow 400mm 70 Gsm 100 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","39201012"
"PM24-Ajfan Barbeque Trail Mix Nuts Composite Tin 100 gm","PM","Packaging","Tin","0.000","Ajfan","PM","18%","39233090"
"PM24-Ajfan Caramel & Himayan Salted Trail Mix Nuts Composite Tin 100 gm","PM","Packaging","Tin","0.000","Ajfan","PM","18%","39233090"
"PM24-Ajfan Premium Kimia Dates-500Gm 700 Ml Rct Tub With Purple Lid Transparent 500 gm","PM","Packaging","Tub","0.000","Ajfan","PM","18%","39233090"
"PM24-Ajfan Roasted & Salted Trail Mix Nuts Composite Tin 100 gm","PM","Packaging","Tin","0.000","Ajfan","PM","18%","39233090"
"PM24-Al Barakah Ajwa Dates Pouch-190mm x 115 mm-Sample Pouch 50 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","48219090"
"PM24-Al Barakah Date Powder Pouch 250gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
"PM24-Al Barakah Fard Dates Pouch (185 x 235 mm) 500 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-Al Barakah Fard Delight Dates 500 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","GENERAL","PM","18%","48219090"
"PM24-Al Barakah Golden Date Pouch 500 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","48219090"
"PM24-Al Barakah Khalas Dates 500 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","GENERAL","PM","18%","48219090"
"PM24-Al Barakah Khalas Dates Pouch-Sample Pouch 30 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","48219090"
"PM24-Al Barakah Khneize Dates Pouch-(185 x 235 mm) 500 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
"PM24-Al Barakah Khneize Dates Pouch-3 Dates-190mm x 115 mm-Sample Pouch 50 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","48219090"
"PM24-Al Barakah Kimia Dates Top 500 gm","PM","Packaging","Top","0.000","GENERAL","PM","18%","4821"
"PM24-Al Barakah Kimia Dates Tub 700Ml-Square Container 500 gm","PM","Packaging","Tub","0.000","GENERAL","PM","18%","39233090"
"PM24-Al Barakah Kimia Dates Tub 700Ml-Square Container (Halal Logo) 500 gm","PM","Packaging","Tub","0.000","GENERAL","PM","18%","39233090"
"PM24-Al barakah Medjoul Dates Top 500 gm","PM","Packaging","Top","0.000","GENERAL","PM","18%","4821"
"PM24- Al Barakah Medjoul Date Top 400gm","PM","Packaging","Top","0.000","GENERAL","PM","18%","48211090"
"PM24-Al Barakah Oman Date Pouch 500 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
"PM24-Al Barakah Oman Dates Pouch 1kg","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","48219090"
"PM24-AL Barakah Premium Seedless Dates Pouch 500 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-Al Barakah Safawi Dates Pouch 500 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-Al Barakah Safawi Dates-Sample Pouch 30 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","48219090"
"PM24-Al Barakah (Seeded) Kalmi Dates Top 400 gm","PM","Packaging","Top","0.000","GENERAL","PM","18%","48191090"
"PM24-Al Barakakh Kimia Dates 500 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","GENERAL","PM","18%","48219090"
"PM24-Al Barakha Arabian Dates Pouch 400gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-All is Well Choco Crunch Bar 30 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Joudae Foods","PM","18%","48219090"
"PM24-All Is Well Coffee Bites 10 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Joudae Foods","PM","18%","48219090"
"PM24-All Is Well Coffee Bites 60 gm Triangular Monocarton","PM","Packaging","Monocarton ","0.000","Joudae Foods","PM","18%","4821"
"PM24-All is Well Fig And Dates Bar 30 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Joudae Foods","PM","18%","48219090"
"PM24-All Is Well Hazelnut Bar 30 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Joudae Foods","PM","18%","48219090"
"PM24-All is Well Oats And Aprictos Bar 30 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Joudae Foods","PM","18%","48219090"
"PM24- Almonds Stand UP Pouch","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
"PM24-Alpina Bbq Peanut Pouch 200 gm","PM","Packaging","Pouch","0.000","Alpino","PM","18%","3923"
"PM24-Alpina Honey Peanut Pouch 200 gm","PM","Packaging","Pouch","0.000","Alpino","PM","18%","3923"
"PM24-Aluminum Seal Big 430 ml","PM","Packaging","Aluminum Seal","0.000","GENERAL","PM","18%","83099090"
"PM24-Aluminum Seal Big 800 ml","PM","Packaging","Aluminum Seal","0.000","GENERAL","PM","18%","83099090"
"PM24-Aluminum Seal Small 180 gm","PM","Packaging","Aluminum Seal","0.000","GENERAL","PM","18%","83099090"
"PM24-Amazon Brand-Kitchen Cheer Nuts, Berries And Seed Mix | 200G Pouch","PM","Packaging","Pouch","0.000","AMAZON","PM","18%","3923"
"PM24-Amazon Brand-Kitchen Cheer Nuts, Berries Mix | 200G Pouch","PM","Packaging","Pouch","0.000","AMAZON","PM","18%","3923"
"PM24-Amazon Brand-Kitchen Cheer Nuts, Dry Fruit Nut Mix | 200G Pouch","PM","Packaging","Pouch","0.000","AMAZON","PM","18%","3923"
"PM24-Amazon Brand-Kitchen Cheer Nuts, Seed Mix | 200G Pouch","PM","Packaging","Pouch","0.000","AMAZON","PM","18%","3923"
"PM24-Amazon Prime BOPP Tape (72 mm x 65 mtr) 42 Mic - New","PM","Packaging","Tape","0.000","AMAZON","PM","18%","(39191000)"
"PM24-Amery Dates Carton Label 8000 gm","PM","Packaging","Label","0.000","JTC","PM","18%","4819"
"PM24-Anjeer 250 gm","PM","Packaging","Blister","0.000","GENERAL","PM","18%","39232990"
"PM24-Anjeer 300 gm","PM","Packaging","Blister","0.000","HOH/Common","PM","18%","39232990"
"PM24-Anjeer Large Premium 250 gm","PM","Packaging","Blister","0.000","GENERAL","PM","18%","39232990"
"PM24-Apricot Bottom 250 gm","PM","Packaging","Bottom","0.000","JTC","PM","18%","39232990"
"PM24-Arabian Dates Ajwa Dates Top 500 gm","PM","Packaging","Top","0.000","Istore","PM","18%","48191090"
"PM24-Arabian Dates Ameri Dates Top 500 gm","PM","Packaging","Top","0.000","Istore","PM","18%","48191090"
"PM24-Arabian Dates Deglet Dates Top 500 gm","PM","Packaging","Top","0.000","Istore","PM","18%","48191090"
"PM24-Arabian Dates Fardh Dates 500 gm","PM","Packaging","PM","0.000","GENERAL","PM","18%","48191090"
